Серьезность,Категория,ID проблемы,Описание проблемы,Страница/Функция,Подробности,Влияние,Рекомендация,Статус
"КРИТИЧЕСКАЯ","Безопасность","SEC-001","Поле BTC адреса отображает пароль от аккаунта в открытом виде","Настройки","Поле 'BTC billing address' содержит значение 'content2' — это пароль от аккаунта. Пароль виден и доступен для редактирования любому авторизованному пользователю.","Высокое — раскрытие пароля позволяет захватить аккаунт любому, у кого есть доступ к дашборду.","Удалить пароль из поля BTC адреса. Внедрить хеширование паролей (bcrypt/argon2). Никогда не отображать пароли в интерфейсе.","Новая"
"КРИТИЧЕСКАЯ","Безопасность","SEC-002","Персональные данные отображаются без маскировки","Настройки","Телефон (+79132456234) и email (sergey25288@gmail.com) показаны полностью без маскировки и контроля доступа.","Среднее — раскрытие ПДн нарушает GDPR/CCPA.","Маскировать чувствительные данные (показывать только последние 4 цифры). Добавить аудит логирования доступа к ПДн.","Новая"
"ВЫСОКАЯ","Функциональность","FUN-001","Сессия не сохраняется после входа","Все внутренние страницы","После успешного входа на /statistics переход на /settings или /workers сбрасывает на форму логина. Сессионная кука или токен не сохраняются.","Высокое — пользователи не могут пользоваться дашбордом без повторного входа.","Исправить управление сессиями. Убедиться, что куки/токены корректно установлены с правильными атрибутами domain и path.","Новая"
"ВЫСОКАЯ","Целостность данных","DAT-001","Воркеры показывают устаревшие даты","Воркеры","Воркер 'worker4' показывает дату последней активности '13.05.2024' — данные почти 2-летней давности. Политика хранения данных неясна.","Среднее — устаревшие данные указывают на проблемы очистки БД или заброшенные аккаунты.","Внедрить политику хранения данных. Архивировать или удалять неактивных воркеров через определенный период.","Новая"
"ВЫСОКАЯ","UI/UX","UI-001","Плейсхолдеры на публичных страницах","О нас","Страница 'О нас' содержит '------' вместо реального описания компании и информации.","Среднее — непрофессиональный вид подрывает доверие.","Заменить все плейсхолдеры на актуальную информацию о компании.","Новая"
"СРЕДНЯЯ","Целостность данных","DAT-002","График прибыли показывает нулевые значения","Прибыль","Отображается 'Total accrued: 0' несмотря на наличие исторических записей в таблице ниже. Данные графика не синхронизированы с таблицей.","Среднее — несоответствие финансовых данных подрывает доверие пользователей.","Синхронизировать данные графика с реальными транзакциями. Исправить пайплайн данных между бэкендом и фронтендом.","Новая"
"СРЕДНЯЯ","Целостность данных","DAT-003","Страница рефералов показывает n/a","Рефералы","Все метрики рефералов отображают 'n/a': Уровень n/a, Баланс n/a BTC, хешрейт n/a TH/s. Реферальная ссылка недоступна.","Среднее — реферальная система не работает.","Внедрить корректный учет рефералов. Показывать актуальные данные или сообщение 'Рефералов пока нет'.","Новая"
"СРЕДНЯЯ","UI/UX","UI-002","Устаревший год копирайта","Футер","На всех страницах отображается 'Copyright © 2022' вместо текущего года 2026.","Низкое — выглядит заброшенным и устаревшим.","Обновить год копирайта динамически или вручную до текущего года.","Новая"
"СРЕДНЯЯ","UI/UX","UI-003","Обрезанный текст в секции рефералов","Рефералы","Реферальная ссылка отображается как 'link address is unavaila...' — текст обрезан без тултипа или возможности развернуть.","Низкое — пользователи не видят полную реферальную ссылку.","Добавить тултип при наведении или перенос текста. Убедиться, что контейнер вмещает полное содержимое.","Новая"
"СРЕДНЯЯ","UI/UX","UI-004","Несогласованные форматы дат","Воркеры","Форматы дат варьируются: '13.05.2024-14:58:28' против '24.04.2026-21:54:30'. Некоторые показывают полную метку времени, другие — нет.","Низкое — путает пользователей при отслеживании активности воркеров.","Стандартизировать формат даты во всех таблицах (ISO 8601 или единый локализованный формат).","Новая"
"СРЕДНЯЯ","Функциональность","FUN-002","Таблица выплат пустая","Выплаты","Страница выплат показывает заголовки колонок, но нет строк данных, несмотря на наличие баланса и майнинговой активности.","Среднее — пользователи не могут проверить историю выплат.","Убедиться, что данные выплат корректно загружаются. Если выплат еще не было — показывать сообщение 'Выплат пока нет' вместо пустой таблицы.","Новая"
"СРЕДНЯЯ","UI/UX","UI-005","Несоответствие количества записей","Воркеры","Отображается 'Display by 10', но в списке только 7 воркеров. Логика пагинации или подсчета некорректна.","Низкое — небольшое несоответствие в интерфейсе.","Исправить отображение количества элементов, чтобы соответствовало реальным данным, или скорректировать настройки пагинации.","Новая"
"НИЗКАЯ","UI/UX","UI-006","Неинформативные имена воркеров","Воркеры","Активный воркер назван '1' вместо описательного имени. Другие воркеры имеют имена типа 'worker', 'worker1', 'worker2'.","Низкое — сложно идентифицировать конкретные майнеры.","Внедрить обязательное описательное именование или автогенерацию осмысленных имен.","Новая"
"НИЗКАЯ","UI/UX","UI-007","Непонятная секция 'Donat'","Настройки","Секция подписана 'Donat' (с ошибкой) со значением '1%'. Назначение неясно — похоже на пожертвование пулу, но не объяснено.","Низкое — путающий элемент интерфейса.","Переименовать в 'Pool Donation' или 'Dev Fee'. Добавить поясняющий тултип. Исправить орфографию.","Новая"
"НИЗКАЯ","Безопасность","SEC-003","2FA QR код не протестирован","Настройки","Кнопка 'Get QR code' видна, но функциональность не проверена в ходе тестирования.","Неизвестно — невозможно подтвердить корректность реализации 2FA.","Протестировать поток настройки 2FA end-to-end. Убедиться, что QR коды генерируют валидные TOTP секреты.","Новая"
